id,timestamp,stock,area
AT-92001-19036/1,2017-01-01,485.0,2462265
AT-92001-18420/1,2017-01-01,790.9,1385526
AT-92001-19131,2017-01-01,416.0,1375463
AT-92001-19220/1,2017-01-01,293.7,1270480
AT-92001-19140,2017-01-01,352.8,1266899
AT-92001-19160/1,2017-01-01,439.6,1127235
AT-92001-19122/1,2017-01-01,432.8,1063083
AT-92001-19143,2017-01-01,285.3,1059363
AT-92001-19228,2017-01-01,382.8,767372
AT-92001-19211,2017-01-01,321.6,716751
AT-92001-19187,2017-01-01,353.9,714629
AT-92001-19236,2017-01-01,534.7,708749
AT-92001-19166,2017-01-01,398.7,678967
AT-92001-18789/1,2017-01-01,362.7,661558
AT-92001-19028/1,2017-01-01,371.3,605672
AT-92001-19123/1,2017-01-01,373.9,573518
AT-92001-19224,2017-01-01,254.6,572719
AT-92001-19222,2017-01-01,322.1,570300
AT-92001-19253,2017-01-01,357.2,519729
AT-92001-19203/1,2017-01-01,443.8,496767
AT-92001-17368/1,2017-01-01,652.2,488569
AT-92001-18408/1,2017-01-01,651.3,480678
AT-92001-19153/1,2017-01-01,389.4,473072
AT-92001-19027/1,2017-01-01,293.1,431760
AT-92001-19200/1,2017-01-01,462.2,418954
AT-92001-19198,2017-01-01,562.5,401089
AT-92001-19193,2017-01-01,510.1,400198
AT-92001-19239,2017-01-01,342.4,393601
AT-92001-20103/1,2017-01-01,283.6,380845
AT-92001-18415,2017-01-01,858.5,371364
AT-92001-19208,2017-01-01,485.6,359489
AT-92001-19021,2017-01-01,302.6,358819
AT-92001-20500,2017-01-01,463.3,351319
AT-92001-19145,2017-01-01,504.3,351089
AT-92001-19241,2017-01-01,319.3,348307
AT-92001-19174,2017-01-01,471.6,338691
AT-92001-19183,2017-01-01,327.3,337397
AT-92001-19036/11,2017-01-01,455.2,325966
AT-92001-18196,2017-01-01,533.5,311195
AT-92001-19012,2017-01-01,336.8,305158
AT-92001-19172,2017-01-01,428.7,301829
AT-92001-19242,2017-01-01,473.2,269217
AT-92001-19194/1,2017-01-01,401.3,264576
AT-92001-19044,2017-01-01,315.6,254405
AT-92001-19016/1,2017-01-01,338.0,251356
AT-92001-19218/1,2017-01-01,123.8,250758
AT-92001-19042,2017-01-01,314.2,246233
AT-92001-19199,2017-01-01,595.2,245884
AT-92001-19197/1,2017-01-01,305.5,232316
AT-92001-19254,2017-01-01,428.6,223373
AT-92001-15608/1,2017-01-01,458.6,215867
AT-92001-19127,2017-01-01,561.9,198190
AT-92001-19195,2017-01-01,707.4,197623
AT-92001-18630,2017-01-01,629.3,197476
AT-92001-19016/2,2017-01-01,350.3,195368
AT-92001-19237,2017-01-01,481.9,191435
AT-92001-19196/1,2017-01-01,640.4,190475
AT-92001-19162/2,2017-01-01,282.0,186741
AT-92001-19184,2017-01-01,75.9,186580
AT-92001-14011/1,2017-01-01,518.5,181110
AT-92001-17270/1,2017-01-01,638.1,179237
AT-92001-16836/1,2017-01-01,668.1,175757
AT-92001-19141/2,2017-01-01,251.7,166066
AT-92001-18194,2017-01-01,496.9,155502
AT-92001-18614/1,2017-01-01,326.3,150680
AT-92001-20103/2,2017-01-01,505.4,147384
AT-92001-19132,2017-01-01,485.6,146177
AT-92001-19247/3,2017-01-01,398.3,146166
AT-92001-15608/2,2017-01-01,435.5,144122
AT-92001-19246/1,2017-01-01,466.4,142499
AT-92001-19142,2017-01-01,28.1,142271
AT-92001-19244,2017-01-01,403.6,138857
AT-92001-19247/1,2017-01-01,644.4,136710
AT-92001-19122/2,2017-01-01,350.2,130665
AT-92001-19014,2017-01-01,359.3,130254
AT-92001-20190,2017-01-01,323.8,126791
AT-92001-19129,2017-01-01,616.1,123761
AT-92001-19205,2017-01-01,435.9,120908
AT-92001-15372,2017-01-01,990.0,114182
AT-92001-19246/2,2017-01-01,706.1,113106
AT-92001-19203/2,2017-01-01,512.9,112861
AT-92001-19169,2017-01-01,411.9,111244
AT-92001-19227,2017-01-01,541.6,107157
AT-92001-17718/2,2017-01-01,345.8,105665
AT-92001-18352,2017-01-01,537.3,102067
AT-92001-19246/3,2017-01-01,499.4,100868
AT-92001-19191,2017-01-01,666.0,99494
AT-92001-19186,2017-01-01,321.2,99351
AT-92001-19181,2017-01-01,212.8,98143
AT-92001-19138,2017-01-01,567.8,97982
AT-92001-19146,2017-01-01,251.5,96300
AT-92001-19179,2017-01-01,479.5,95944
AT-92001-19141/1,2017-01-01,76.8,93098
AT-92001-19246/5,2017-01-01,640.0,87598
AT-92001-19176,2017-01-01,528.8,86636
AT-92001-19212,2017-01-01,507.2,86153
AT-92001-19020,2017-01-01,274.1,83710
AT-92001-1159/1,2017-01-01,371.2,83381
AT-92001-19219/1,2017-01-01,443.8,82054
AT-92001-19226,2017-01-01,333.2,81585
AT-92001-14016/1,2017-01-01,818.0,79843
AT-92001-17660,2017-01-01,490.6,77891
AT-92001-19027/3,2017-01-01,390.3,74912
AT-92001-19023,2017-01-01,276.8,74330
AT-92001-18555/7,2017-01-01,650.1,73834
AT-92001-19251,2017-01-01,215.1,73043
AT-92001-19219/2,2017-01-01,361.6,71548
AT-92001-18526,2017-01-01,378.6,68984
AT-92001-19246/6,2017-01-01,525.7,68744
AT-92001-9227,2017-01-01,402.4,68328
AT-92001-19035,2017-01-01,349.3,68060
AT-92001-17371/1,2017-01-01,574.3,67394
AT-92001-19122/3,2017-01-01,269.0,66559
AT-92001-17639,2017-01-01,319.4,65777
AT-92001-19122/4,2017-01-01,352.2,63962
AT-92001-19036/12,2017-01-01,324.0,63661
AT-92001-13801/1,2017-01-01,402.3,63400
AT-92001-19233,2017-01-01,502.9,63078
AT-92001-19027/2,2017-01-01,284.6,62614
AT-92001-17718/1,2017-01-01,438.0,61293
AT-92001-15394,2017-01-01,648.2,61212
AT-92001-19246/4,2017-01-01,473.5,60495
AT-92001-19013,2017-01-01,382.1,60193
AT-92001-18633/1,2017-01-01,549.7,59206
AT-92001-19213,2017-01-01,409.6,58873
AT-92001-19124,2017-01-01,348.7,58028
AT-92001-14010/2,2017-01-01,509.9,56768
AT-92001-18193,2017-01-01,778.1,56454
AT-92001-19134,2017-01-01,496.8,56217
AT-92001-12692/1,2017-01-01,577.9,56170
AT-92001-1175,2017-01-01,427.9,55886
AT-92001-18341/1,2017-01-01,581.6,55054
AT-92001-20204,2017-01-01,332.7,54556
AT-92001-19204,2017-01-01,702.0,54346
AT-92001-19225,2017-01-01,447.5,52336
AT-92001-19247/5,2017-01-01,539.2,51895
AT-92001-19234,2017-01-01,375.7,50908
AT-92001-11768,2017-01-01,727.3,50484
AT-92001-15327,2017-01-01,826.0,50219
AT-92001-1161/2,2017-01-01,428.5,49422
AT-92001-19207,2017-01-01,305.8,49057
AT-92001-19079/2,2017-01-01,331.5,47716
AT-92001-18789/2,2017-01-01,743.4,47544
AT-92001-17666,2017-01-01,508.7,47344
AT-92001-20194,2017-01-01,379.0,46724
AT-92001-11669/1,2017-01-01,947.9,46526
AT-92001-18614/3,2017-01-01,349.2,46090
AT-92001-17712/3,2017-01-01,415.2,46037
AT-92001-15608/5,2017-01-01,449.2,45772
AT-92001-18834,2017-01-01,414.7,45672
AT-92001-15459,2017-01-01,605.4,44715
AT-92001-15483,2017-01-01,744.3,44500
AT-92001-19192,2017-01-01,469.8,43821
AT-92001-18734/1,2017-01-01,437.8,43729
AT-92001-18747,2017-01-01,660.7,42322
AT-92001-18720,2017-01-01,795.0,41919
AT-92001-18351,2017-01-01,508.1,41702
AT-92001-14011/8,2017-01-01,457.1,41599
AT-92001-18613/2,2017-01-01,864.5,41023
AT-92001-18732/1,2017-01-01,612.6,40603
AT-92001-12858,2017-01-01,842.9,40509
AT-92001-18741/1,2017-01-01,307.8,39759
AT-92001-18374,2017-01-01,417.8,39591
AT-92001-18637,2017-01-01,819.7,39552
AT-92001-13768/2,2017-01-01,839.1,39548
AT-92001-12930/1,2017-01-01,471.6,39537
AT-92001-7918,2017-01-01,966.9,39341
AT-92001-12451/11,2017-01-01,125.4,39300
AT-92001-13188/1,2017-01-01,602.1,39215
AT-92001-19018,2017-01-01,280.4,38890
AT-92001-19238,2017-01-01,363.6,38651
AT-92001-17707,2017-01-01,840.8,38231
AT-92001-16654/2,2017-01-01,917.4,37932
AT-92001-19029,2017-01-01,424.5,37767
AT-92001-20252,2017-01-01,420.0,37542
AT-92001-16708,2017-01-01,431.5,37491
AT-92001-14010/5,2017-01-01,529.9,37254
AT-92001-13725,2017-01-01,587.6,36363
AT-92001-18201,2017-01-01,833.8,35690
AT-92001-20013/1,2017-01-01,217.3,35418
AT-92001-18898,2017-01-01,299.7,35368
AT-92001-16878/1,2017-01-01,690.3,35202
AT-92001-12451/10,2017-01-01,190.2,35148
AT-92001-19036/9,2017-01-01,362.1,35139
AT-92001-19016/11,2017-01-01,490.2,34709
AT-92001-17661,2017-01-01,243.6,34570
AT-92001-12451/1,2017-01-01,622.3,33969
AT-92001-19133,2017-01-01,593.9,33820
AT-92001-13768/1,2017-01-01,765.8,33715
AT-92001-19197/2,2017-01-01,338.4,33645
AT-92001-17519,2017-01-01,618.5,33573
AT-92001-18739/2,2017-01-01,565.0,33368
AT-92001-19206,2017-01-01,495.2,33358
AT-92001-11668,2017-01-01,678.4,33245
AT-92001-19017,2017-01-01,326.7,33152
AT-92001-16730,2017-01-01,406.4,33147
AT-92001-13797/1,2017-01-01,489.6,33141
AT-92001-11568,2017-01-01,629.5,33105
AT-92001-17712/1,2017-01-01,386.5,33002
AT-92001-17699,2017-01-01,940.6,32936
AT-92001-17719,2017-01-01,224.1,32895
AT-92001-14017,2017-01-01,712.7,32853
AT-92001-13516/1,2017-01-01,430.1,32255
AT-92001-18666,2017-01-01,487.5,32092
AT-92001-19139,2017-01-01,698.9,31793
AT-92001-1039/3,2017-01-01,288.5,31765
AT-92001-17653,2017-01-01,251.5,31589
AT-92001-19037,2017-01-01,320.9,31403
AT-92001-13638,2017-01-01,157.0,31252
AT-92001-15486/1,2017-01-01,514.9,31233
AT-92001-19079/1,2017-01-01,287.1,31131
AT-92001-1177/4,2017-01-01,395.1,31043
AT-92001-15802,2017-01-01,547.6,30986
AT-92001-13637,2017-01-01,347.4,30934
AT-92001-1042/3,2017-01-01,203.3,30858
AT-92001-15608/3,2017-01-01,414.0,30830
AT-92001-13716,2017-01-01,315.1,30771
AT-92001-17275,2017-01-01,541.4,30733
AT-92001-13087/1,2017-01-01,565.8,30697
